epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.6923196315765381,
0,88,,,0.6871283054351807
0,88,0.8690997958183289,,
1,99,,0.6870521903038025,
1,149,,0.6868106722831726,
1,177,,,0.684170126914978
1,177,0.6868101358413696,,
2,199,,0.6853435039520264,
2,249,,0.6812429428100586,
2,266,,,0.6808164715766907
2,266,0.6845128536224365,,
3,299,,0.6778652667999268,
3,349,,0.6810816526412964,
3,355,,,0.6777997016906738
3,355,0.6813637018203735,,
4,399,,0.677048921585083,
4,444,,,0.6780068278312683
4,444,0.6788914799690247,,
5,449,,0.6779981851577759,
5,499,,0.6717288494110107,
5,533,,,0.6751858592033386
5,533,0.677329421043396,,
6,549,,0.6761764287948608,
6,599,,0.6830575466156006,
6,622,,,0.6759676337242126
6,622,0.6765657663345337,,
7,649,,0.6733594536781311,
7,699,,0.6762284636497498,
7,711,,,0.6745350360870361
7,711,0.6757299900054932,,
8,749,,0.6732454299926758,
8,799,,0.6731178164482117,
8,800,,,0.6738186478614807
8,800,0.675215482711792,,
9,849,,0.6726433038711548,
9,889,,,0.6741628646850586
9,889,0.6746589541435242,,
10,899,,0.6785745620727539,
10,949,,0.6724330186843872,
10,978,,,0.6750742793083191
10,978,0.674324095249176,,
11,999,,0.6750341653823853,
11,1049,,0.676958441734314,
11,1067,,,0.6738660931587219
11,1067,0.6739407181739807,,
12,1099,,0.6752868294715881,
12,1149,,0.6750820875167847,
12,1156,,,0.67350834608078
12,1156,0.6736306548118591,,
13,1199,,0.6715233325958252,
13,1245,,,0.6749168038368225
13,1245,0.6731975674629211,,
14,1249,,0.6720046997070312,
14,1299,,0.6675339937210083,
14,1334,,,0.6734300255775452
14,1334,0.6732255220413208,,
15,1349,,0.6761996150016785,
15,1399,,0.6691993474960327,
15,1423,,,0.6734846234321594
15,1423,0.6730462312698364,,
16,1449,,0.666904091835022,
16,1499,,0.6752394437789917,
16,1512,,,0.6743636131286621
16,1512,0.6728836297988892,,
17,1549,,0.6766871213912964,
17,1599,,0.6754697561264038,
17,1601,,,0.6733667254447937
17,1601,0.6728516221046448,,
18,1649,,0.6712872982025146,
18,1690,,,0.6735467314720154
18,1690,0.6723136901855469,,
19,1699,,0.6763405203819275,
19,1749,,0.6764490008354187,
19,1779,,,0.6730444431304932
19,1779,0.672196626663208,,
20,1799,,0.6670061349868774,
20,1849,,0.6753846406936646,
20,1868,,,0.6729950308799744
20,1868,0.6717432737350464,,
21,1899,,0.6663855910301208,
21,1949,,0.6748504638671875,
21,1957,,,0.6740779876708984
21,1957,0.6719857454299927,,
22,1999,,0.6680084466934204,
22,2046,,,0.6729211807250977
22,2046,0.6717839241027832,,
23,2049,,0.6726198196411133,
23,2099,,0.672943115234375,
23,2135,,,0.6728735566139221
23,2135,0.6716002821922302,,
24,2149,,0.6713569164276123,
24,2199,,0.6702391505241394,
24,2224,,,0.6728573441505432
24,2224,0.6717327237129211,,
25,2249,,0.670576810836792,
25,2299,,0.6712690591812134,
25,2313,,,0.6733948588371277
25,2313,0.6713059544563293,,
26,2349,,0.668459415435791,
26,2399,,0.67302405834198,
26,2402,,,0.6731827259063721
26,2402,0.6717907786369324,,
27,2449,,0.6728656888008118,
27,2491,,,0.6733747124671936
27,2491,0.6711323857307434,,
28,2499,,0.6764757633209229,
28,2549,,0.6743655204772949,
28,2580,,,0.6729291677474976
28,2580,0.6712071299552917,,
29,2599,,0.6691467761993408,
29,2649,,0.6717332601547241,
29,2669,,,0.6726666688919067
29,2669,0.6709758639335632,,
30,2699,,0.671898603439331,
30,2749,,0.6700267791748047,
30,2758,,,0.672594428062439
30,2758,0.6709359288215637,,
31,2799,,0.6710538864135742,
31,2847,,,0.6727538108825684
31,2847,0.6704767942428589,,
32,2849,,0.6746906042098999,
32,2899,,0.6759697198867798,
32,2936,,,0.6724973917007446
32,2936,0.6706201434135437,,
33,2949,,0.6736184358596802,
33,2999,,0.6698297262191772,
33,3025,,,0.6722506880760193
33,3025,0.67098069190979,,
34,3049,,0.6708524227142334,
34,3099,,0.6704180240631104,
34,3114,,,0.6725586652755737
34,3114,0.670504093170166,,
35,3149,,0.6746499538421631,
35,3199,,0.667640209197998,
35,3203,,,0.6733117699623108
35,3203,0.6708433032035828,,
36,3249,,0.6652835607528687,
36,3292,,,0.6734952926635742
36,3292,0.6707336902618408,,
37,3299,,0.6719366908073425,
37,3349,,0.6730421185493469,
37,3381,,,0.6733226776123047
37,3381,0.6707666516304016,,
38,3399,,0.6698113679885864,
38,3449,,0.6717252731323242,
38,3470,,,0.6723870635032654
38,3470,0.6702023148536682,,
