Representation,dim,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std
skrub,95,0.5982282859425511,0.0014076203649707,0.5371201069138928,0.0059743584632064,0.6004726573234405,0.0014209936893601
sentence_transformer,384,0.5725511707560339,0.0042081070065707,0.4698131862950531,0.0412944785202669,0.5943391041494916,0.0015645023475314
D_skrub_plus_huim,135,0.5918566786490933,0.0011838556551138529,0.5282233422499768,0.00546121991775255,0.5991206375377851,0.0015317228252241558
