epoch,step,train_loss_step
0,49,1.0422254800796509
0,99,0.7250372767448425
0,149,0.7297987341880798
0,199,0.6989936828613281
0,249,0.6633359789848328
0,299,0.6850148439407349
0,349,0.7079901099205017
0,399,0.6881842613220215
0,449,0.7131757736206055
0,499,0.6948087811470032
0,549,0.6833987236022949
0,599,0.7001572847366333
0,649,0.6957606673240662
0,699,0.6839346885681152
0,749,0.6710029244422913
0,799,0.6924668550491333
0,849,0.6880167126655579
0,899,0.6916192770004272
0,949,0.6870630979537964
0,999,0.6914157867431641
0,1049,0.6851180195808411
0,1099,0.6731382608413696
0,1149,0.6682681441307068
0,1199,0.6805436611175537
0,1249,0.7040369510650635
0,1299,0.6700913310050964
0,1349,0.7015436887741089
0,1399,0.6895008087158203
0,1449,0.6787026524543762
0,1499,0.6751827597618103
0,1549,0.6879917979240417
0,1599,0.698441743850708
0,1649,0.6866844892501831
0,1699,0.684971034526825
0,1749,0.6940467357635498
0,1799,0.6824535131454468
0,1849,0.6896303296089172
0,1899,0.6883023977279663
0,1949,0.67351895570755
0,1999,0.6895279884338379
0,2049,0.7037394046783447
0,2099,0.6978970766067505
0,2149,0.6941066980361938
